features,importances
Account Length,0.003176257625644378
VMail Message,0.04813514540101574
Day Mins,0.15748059278883467
Day Calls,0.0109130537448194
Day Charge,0.06501146559437573
Eve Mins,0.12582988467683165
Eve Calls,0.02030929420045516
Eve Charge,0.10527797911343463
Night Mins,0.021953033068236115
Night Calls,0.16607526314198848
Night Charge,0.1825142102235717
Intl Mins,0.005088118209709642
Intl Calls,0.015231646800287647
Intl Charge,0.014617154567858446
CustServ Calls,0.04135772181483092
State_AK,0.00022989029965382425
State_AL,3.140796077845838e-05
State_AR,9.2981244146563e-05
State_AZ,0.00023389975403483122
State_CA,6.958819450379237e-05
State_CO,0.00013165053328629048
State_CT,0.00011133592222489144
State_DC,5.91081413908539e-05
State_DE,0.00018093120347329554
State_FL,0.00019878605628793184
State_GA,0.00019483502047291937
State_HI,0.00011774011906524622
State_IA,5.2754909095899854e-05
State_ID,0.00023056908224886963
State_IL,0.00011815436977389459
State_IN,6.56935416445535e-05
State_KS,0.00021173050824265966
State_KY,0.00018939655321746724
State_LA,0.00032273348868777657
State_MA,0.00041486009203958745
State_MD,0.000258418396743833
State_ME,5.9765710137019475e-05
State_MI,0.00014319634459803693
State_MN,0.00024960102544237673
State_MO,0.0002028358872311621
State_MS,0.00021129728036583132
State_MT,3.0403911184643566e-05
State_NC,9.274281072297552e-05
State_ND,0.00016809525055624009
State_NE,0.0002488666994160917
State_NH,0.0001872395167837875
State_NJ,0.00024042808406138795
State_NM,0.00010938901015475363
State_NV,0.00014522688247861696
State_NY,0.00010626877579560112
State_OH,0.00021731882965991998
State_OK,0.00013661799980873858
State_OR,0.00012490926162528833
State_PA,0.0002014855094070825
State_RI,0.00012256272420752964
State_SC,0.0001307231467822129
State_SD,0.00022835419850773412
State_TN,0.0002903991835800969
State_TX,4.4862256449220975e-05
State_UT,0.0005384424754026593
State_VA,9.443954298727314e-05
State_VT,0.00025250607627768355
State_WA,0.00017222122411132446
State_WI,0.00012387859661773239
State_WV,7.252178840864313e-05
State_WY,6.60103849021759e-05
Area Code_657,6.334477132590977e-05
Area Code_658,0.000206996935951262
Area Code_659,0.0001839857572859493
Area Code_676,0.0001408989902311075
Area Code_677,0.00023514290523238426
Area Code_678,0.0001521499186238001
Area Code_686,9.126570691317175e-05
Area Code_707,0.00011089063115721733
Area Code_716,0.00025061733341659865
Area Code_727,0.00013270245942993868
Area Code_736,0.00021043029076570926
Area Code_737,0.00018024925175039245
Area Code_758,0.00017663631835701505
Area Code_766,0.0002138509425129473
Area Code_776,7.800310787991518e-05
Area Code_777,0.00015883878589361411
Area Code_778,0.00019685828964576563
Area Code_786,0.0001854235247662885
Area Code_787,0.00044100675233941106
Area Code_788,0.00021553972741516534
Area Code_797,0.00018540912309227415
Area Code_798,0.00017394272051676134
Area Code_806,0.00016193519542080125
Area Code_827,9.079464558101928e-05
Area Code_836,8.09452705399029e-05
Area Code_847,5.172455373794918e-05
Area Code_848,1.6332929597981642e-05
Area Code_858,0.00026789975868328454
Area Code_866,2.7674682039165853e-05
Area Code_868,0.00020584355795451683
Area Code_876,0.0001592957063599446
Area Code_877,7.829468403673804e-05
Area Code_878,7.787942639550441e-05
Int'l Plan_no,0.0004415887044548448
Int'l Plan_yes,0.0003556841582474255
VMail Plan_no,0.0006654710685955958
VMail Plan_yes,0.0018345546632811873
